drugbank_id,name,groups,atc_codes,smiles,logP
DB00257,Clotrimazole,approved|vet_approved,D01AC01|A01AB18|G01AF02|G01AF20,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,6.1
DB00258,Calcium acetate,approved|investigational,V03AE04|A11GB01|V03AE07,CC(=O)[O-].CC(=O)[O-].[Ca+2],
DB00259,Sulfanilamide,approved,G01AE10|J01EB06|D06BA05,Nc1ccc(S(N)(=O)=O)cc1,-0.62
DB00260,Cycloserine,approved,J04AB01,NC1CONC1=O,-0.9
DB00261,Anagrelide,approved,L01XX35,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,2.4
DB00262,Carmustine,approved|investigational,L01AD01,O=NN(CCCl)C(=O)NCCCl,1.53
DB00263,Sulfisoxazole,approved|vet_approved,J01EB05|G01AE10|S01AB02,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,1.01
DB00264,Metoprolol,approved|investigational,C07FB02|C07FX05|C07FX03|C07FB13|C07AB02|C07BB52|C07CB02|C07BB02,COCCc1ccc(OCC(O)CNC(C)C)cc1,2.15
DB00265,Crotamiton,approved,,CC=CC(=O)N(CC)c1ccccc1C,2.9
DB00266,Dicoumarol,approved,B01AA01,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,2.07
DB00267,Cefmenoxime,approved,S02AA18|J01DD05|S01AA31,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,-1.3
DB00268,Ropinirole,approved|investigational,N04BC04,CCCN(CCC)CCc1cccc2c1CC(=O)N2,3.06
DB00269,Chlorotrianisene,investigational|withdrawn,G03CA06,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,6.4
DB00270,Isradipine,approved|investigational,C08CA03,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,4.28
DB00271,Diatrizoate,approved|vet_approved,V08AA01,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,3.3
DB00272,Betazole,approved,V04CG02,NCCc1ccn[nH]1,0.1
DB00273,Topiramate,approved,A08AA51|N03AX11,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,0.13
DB00274,Cefmetazole,approved|investigational,J01DC09,COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,-0.60
